index,test_accuracy,test_precision,test_recall,test_f1,test_tss,test_hss
std,0.07408854510479818,0.035307168242031284,0.17931887937171984,0.12799240626931743,0.15469008068349754,0.15255686209890135
min,0.674120082815735,0.8560322487762742,0.3255364806866953,0.4907796829505014,0.3245364806866604,0.3321409401692132
mean,0.8063265852720392,0.9653454312231292,0.6315032844483954,0.7460759101777854,0.6037563287971125,0.6079789475198221
max,0.926756512011932,0.9981472904122278,0.9263643659711076,0.921126598978948,0.8520417305940667,0.8527692068598897
